OBJECTID,PRE_DIR_TX,PRE_TYPE_T,NAME_TX,SUF_TYPE_T,SUF_DIR_TX,SUFFIX_TX,FULL_NAME,NEW_NM_ID
132038,,,BLACKSTONE RIVER,ROAD,,,BLACKSTONE RIVER RD,770092
132007,,,PROVIDENCE,STREET,,,PROVIDENCE ST,770150
132005,,,PROSPECT,STREET,,,PROSPECT ST,770225
131873,,,DEEPDALE,ROAD,,,DEEPDALE RD,770451
131990,,,DEXTER,STREET,,,DEXTER ST,771089
131965,,,PLANE,STREET,,,PLANE ST,771167
131844,,,ORNE,STREET,,,ORNE ST,771272
131759,,,RANKIN,STREET,,,RANKIN ST,771304
131863,,,CUTTING,AVENUE,,,CUTTING AVE,771371
131968,,,PLASTICS,STREET,,,PLASTICS ST,773197
131773,,,RESERVOIR,STREET,,,RESERVOIR ST,773234
131693,,,CLARKSON,STREET,,,CLARKSON ST,774182
131879,,,DENNIS,DRIVE,,,DENNIS DR,774342
131714,,,COLLINS,STREET,,,COLLINS ST,774424
131939,,,PENN,AVENUE,,,PENN AVE,775181
131661,,,GRATON & KNIGHT,WAY,,,GRATON & KNIGHT WAY,777190
131876,,,DELLDALE,STREET,,,DELLDALE ST,778256
131821,,,SHANNON,STREET,,,SHANNON ST,779164
131822,,,SHATTUCK,STREET,,,SHATTUCK ST,780293
131777,,,RICE,LANE,,,RICE LN,781166
131820,,,SHAMROCK,STREET,,,SHAMROCK ST,781218
131818,,,SHAFFNER,STREET,,,SHAFFNER ST,781296
131884,,,DILLON,STREET,,,DILLON ST,782141
131669,,,FAY,STREET,,,FAY ST,782187
131838,,,ORAN,STREET,,,ORAN ST,782305
131881,,,DEVENS,ROAD,,,DEVENS RD,782365
131878,,,DENMARK,STREET,,,DENMARK ST,783286
131912,,,GORHAM,STREET,,,GORHAM ST,783301
132023,,,LATTI FARM,ROAD,,,LATTI FARM RD,784081
131973,,,PLUM,STREET,,,PLUM ST,785214
131817,,,SHAFFNER,PLACE,,,SHAFFNER PL,785295
131775,,,REXHAME,ROAD,,,REXHAME RD,785345
131945,,,PERSHING,STREET,,,PERSHING ST,786417
132032,,,JUNEBERRY,LANE,,,JUNEBERRY LN,786477
132011,,,PURCHASE,STREET,,,PURCHASE ST,787383
132033,,,WHISPERING PINE,CIRCLE,,,WHISPERING PINE CIR,787476
131855,,,VINSON,STREET,,,VINSON ST,788255
132009,,,PRUDENTIAL,ROAD,,,PRUDENTIAL RD,788409
131706,,,CLIVEDEN,STREET,,,CLIVEDEN ST,788463
132031,,,SPRUCEWOOD,LANE,,,SPRUCEWOOD LN,788477
131877,,,DEMARCO,TERRACE,,,DEMARCO TER,789218
132018,,,QUINAPOXET,LANE,,,QUINAPOXET LN,789400
131803,,,SCRANTON,ROAD,,,SCRANTON RD,789412
131809,,,SELDEN,STREET,,,SELDEN ST,791298
131819,,,SHALE,STREET,,,SHALE ST,792200
131831,,,OLEUM,COURT,,,OLEUM CT,792224
131833,,,OLGA,COURT,,,OLGA CT,792247
